terminal id,9376c986-ca66-4d2c-8639-b2894486f504,,,,,,,
terminal name,Ndego03,,,,,,,
date,s1,s2,s3,s4,s5,s6,s7,s8
1/17/2018 6:31,24.8,66.01,3.87,0,0,0,0,0
1/17/2018 6:46,25.15,62.93,3.88,0,0,0,0,0
1/17/2018 7:01,25.89,61.39,3.88,0,0,0,0,0
1/17/2018 7:16,26.57,58.11,3.89,0,0,0,0,0
1/17/2018 8:15,28.36,49.85,3.88,0,0,0,0,0
1/17/2018 8:29,27.59,54.47,3.88,0,0,0,0,0
1/17/2018 8:44,28.9,50.21,3.88,0,0,0,0,0
1/17/2018 8:59,29.54,46.18,3.88,0,0,0,0,0
1/17/2018 9:13,28.48,48.17,3.89,0,0,0,0,0
1/17/2018 9:28,29.91,45.82,3.88,0,0,0,0,0
1/17/2018 9:43,29.9,45.29,3.88,0,0,0,0,0
1/17/2018 9:58,30.26,42.83,3.9,0,0,0,0,0
1/17/2018 10:12,31.68,43.12,3.89,0,0,0,0,0
1/17/2018 10:27,31.17,43.47,3.89,0,0,0,0,0
1/17/2018 10:42,30.78,36.09,3.89,0,0,0,0,0
1/17/2018 10:56,29.4,41.17,3.89,0,0,0,0,0
1/17/2018 11:11,29.45,41.28,3.89,0,0,0,0,0
1/17/2018 11:26,31.71,33.45,3.89,0,0,0,0,0
1/17/2018 11:41,32.47,33.66,3.89,0,0,0,0,0
1/17/2018 11:55,32.7,36.13,3.89,0,0,0,0,0
1/17/2018 12:10,32.93,31.3,3.89,0,0,0,0,0
1/17/2018 12:25,34.17,26.4,3.9,0,0,0,0,0
1/17/2018 12:40,34.82,24.52,3.9,0,0,0,0,0
1/17/2018 12:54,34.25,28.5,3.9,0,0,0,0,0
1/17/2018 13:09,33.03,30.66,3.9,0,0,0,0,0
1/17/2018 13:24,32.67,32.57,3.9,0,0,0,0,0
1/17/2018 13:38,32.44,34.23,3.9,0,0,0,0,0
1/17/2018 13:53,29.64,40.58,3.9,0,0,0,0,0
1/17/2018 14:08,28.8,42.57,3.9,0,0,0,0,0
1/17/2018 14:22,27.35,49.92,3.9,0,0,0,0,0
1/17/2018 14:37,27.15,50.15,3.9,0,0,0,0,0
1/17/2018 14:52,26.94,49.96,3.89,0,0,0,0,0
1/17/2018 15:06,26.43,53.04,3.89,0,0,0,0,0
1/17/2018 15:21,26.07,54.7,3.89,0,0,0,0,0
1/17/2018 15:36,25.74,55.75,3.89,0,0,0,0,0
1/17/2018 15:50,25.25,58.46,3.89,0,0,0,0,0
1/17/2018 16:05,24.27,62.34,3.89,0,0,0,0,0
1/17/2018 16:20,23.72,62.79,3.89,0,0,0,0,0
1/17/2018 16:34,23.37,62.85,3.89,0,0,0,0,0
1/17/2018 16:49,23.35,62.9,3.89,0,0,0,0,0
1/17/2018 17:04,23.07,65.8,3.89,0,0,0,0,0
1/17/2018 17:18,23.05,64.77,3.88,0,0,0,0,0
1/17/2018 17:33,23.17,63.71,3.88,0,0,0,0,0
1/17/2018 17:48,22.63,65.11,3.88,0,0,0,0,0
1/17/2018 18:02,22.23,65.04,3.88,0,0,0,0,0
1/17/2018 18:17,22.07,66.81,3.88,0,0,0,0,0
1/17/2018 18:32,21.94,66.42,3.88,0,0,0,0,0
1/17/2018 18:46,22.31,64.94,3.88,0,0,0,0,0
1/17/2018 19:01,21.77,68.41,3.88,0,0,0,0,0
1/17/2018 19:16,20.91,70.65,3.88,0,0,0,0,0
1/17/2018 19:31,19.96,77.46,3.88,0,0,0,0,0
1/17/2018 19:45,17.51,94.03,3.88,0,0,0,0,0
1/17/2018 20:00,18.08,92.93,3.87,0,0,0,0,0
1/17/2018 20:15,18.6,88.57,3.87,0,0,0,0,0
1/17/2018 20:29,19.04,81.31,3.87,0,0,0,0,0
1/17/2018 20:44,19.3,78.69,3.87,0,0,0,0,0
1/17/2018 20:59,19.22,79.29,3.87,0,0,0,0,0
1/17/2018 21:13,19.54,76.71,3.87,0,0,0,0,0
1/17/2018 21:28,19.51,74.33,3.87,0,0,0,0,0
1/18/2018 5:49,22.89,69.72,3.85,0,0,0,0,0
1/18/2018 6:04,21.75,71.34,3.86,0,0,0,0,0
1/18/2018 6:19,21.75,71.2,3.86,0,0,0,0,0
1/18/2018 6:33,22.16,71.44,3.86,0,0,0,0,0
1/18/2018 6:48,22.98,69.26,3.87,0,0,0,0,0
1/18/2018 7:03,24.4,61.64,3.87,0,0,0,0,0
1/18/2018 7:17,25.21,58.61,3.88,0,0,0,0,0
1/18/2018 7:32,24.24,64.44,3.88,0,0,0,0,0
1/18/2018 7:47,26.2,55.87,3.89,0,0,0,0,0
1/18/2018 8:02,26.57,54.45,3.87,0,0,0,0,0
