terminal id,3b17a818-7ced-4761-abae-541053c323c2,,,,,,,
terminal name,Rwinkwavu01,,,,,,,
date,s1,s2,s3,s4,s5,s6,s7,s8
1/12/2018 10:36,20.64,76.79,3.86,0,0,0,0,0
1/12/2018 10:51,20.58,79.38,3.86,0,0,0,0,0
1/12/2018 11:05,21.28,75.9,3.86,0,0,0,0,0
1/12/2018 11:20,21.57,74.63,3.86,0,0,0,0,0
1/12/2018 11:35,23.59,67.91,3.86,0,0,0,0,0
1/12/2018 11:49,23.19,94.71,3.86,0,0,0,0,0
1/12/2018 12:04,22.98,95.72,3.86,0,0,0,0,0
1/12/2018 12:19,22.81,96.24,3.86,0,0,0,0,0
1/12/2018 12:33,22.68,96.7,3.86,0,0,0,0,0
1/12/2018 12:48,22.56,96.98,3.85,0,0,0,0,0
1/12/2018 13:03,22.48,97.26,3.85,0,0,0,0,0
1/12/2018 13:18,22.42,97.47,3.85,0,0,0,0,0
1/12/2018 13:32,22.35,97.63,3.85,0,0,0,0,0
1/12/2018 13:47,22.34,97.76,3.85,0,0,0,0,0
1/12/2018 14:01,22.31,97.88,3.85,0,0,0,0,0
1/12/2018 14:16,22.3,97.96,3.85,0,0,0,0,0
1/12/2018 14:31,22.29,98.06,3.85,0,0,0,0,0
1/12/2018 14:45,22.3,98.14,3.85,0,0,0,0,0
1/12/2018 15:00,22.29,98.21,3.84,0,0,0,0,0
1/12/2018 15:15,22.31,98.27,3.85,0,0,0,0,0
1/12/2018 15:29,22.3,98.34,3.84,0,0,0,0,0
1/12/2018 15:44,22.3,98.41,3.84,0,0,0,0,0
1/12/2018 15:59,22.32,98.45,3.84,0,0,0,0,0
1/12/2018 16:13,22.32,98.5,3.84,0,0,0,0,0
1/12/2018 16:28,22.32,98.58,3.84,0,0,0,0,0
1/12/2018 16:42,22.32,98.63,3.84,0,0,0,0,0
1/12/2018 16:57,22.3,98.67,3.84,0,0,0,0,0
1/12/2018 17:12,22.3,98.76,3.84,0,0,0,0,0
1/12/2018 17:26,22.3,98.8,3.84,0,0,0,0,0
1/12/2018 17:41,22.29,98.87,3.84,0,0,0,0,0
1/12/2018 17:56,22.28,98.92,3.84,0,0,0,0,0
1/12/2018 18:10,22.26,98.96,3.84,0,0,0,0,0
1/12/2018 18:25,22.23,98.99,3.84,0,0,0,0,0
1/12/2018 18:40,22.21,99.03,3.84,0,0,0,0,0
1/12/2018 18:54,22.19,99.09,3.84,0,0,0,0,0
1/12/2018 19:09,22.17,99.13,3.83,0,0,0,0,0
1/12/2018 19:24,22.14,99.19,3.83,0,0,0,0,0
1/12/2018 19:38,22.13,99.18,3.83,0,0,0,0,0
1/12/2018 19:53,22.1,99.26,3.83,0,0,0,0,0
1/12/2018 20:07,22.08,99.25,3.83,0,0,0,0,0
1/12/2018 20:22,22.05,99.31,3.83,0,0,0,0,0
1/12/2018 20:37,22.02,99.32,3.83,0,0,0,0,0
1/12/2018 20:51,21.98,99.4,3.83,0,0,0,0,0
1/12/2018 21:06,21.96,99.43,3.83,0,0,0,0,0
1/12/2018 21:21,21.92,99.47,3.82,0,0,0,0,0
1/12/2018 21:35,21.88,99.5,3.83,0,0,0,0,0
1/12/2018 21:50,21.85,99.53,3.82,0,0,0,0,0
1/12/2018 22:05,21.82,99.57,3.82,0,0,0,0,0
1/12/2018 22:19,21.78,99.6,3.82,0,0,0,0,0
1/12/2018 22:34,21.74,99.63,3.82,0,0,0,0,0
1/12/2018 22:49,21.71,99.67,3.82,0,0,0,0,0
